DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:39;b02;Randomizado_alpha_0.2;0.2;30;-;100101;0.009964;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.3;0.3;30;-;100101;0.008992;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.4;0.4;30;-;100101;0.009654;84.000000
2026-07-13 10:15:39;b02;Reativo_0.2_0.3_0.4;-;300;30;100101;0.094820;85.000000
2026-07-13 10:15:39;b02;Guloso;-;-;-;100102;0.076981;90.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.2;0.2;30;-;100102;0.009798;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.3;0.3;30;-;100102;0.008897;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.4;0.4;30;-;100102;0.009507;84.000000
2026-07-13 10:15:39;b02;Reativo_0.2_0.3_0.4;-;300;30;100102;0.088841;85.000000
2026-07-13 10:15:39;b02;Guloso;-;-;-;100103;0.071541;90.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.2;0.2;30;-;100103;0.008442;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.3;0.3;30;-;100103;0.008722;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.4;0.4;30;-;100103;0.008807;84.000000
2026-07-13 10:15:39;b02;Reativo_0.2_0.3_0.4;-;300;30;100103;0.083531;85.000000
2026-07-13 10:15:39;b02;Guloso;-;-;-;100104;0.073662;90.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.2;0.2;30;-;100104;0.009332;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.3;0.3;30;-;100104;0.009938;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.4;0.4;30;-;100104;0.009138;84.000000
2026-07-13 10:15:39;b02;Reativo_0.2_0.3_0.4;-;300;30;100104;0.082207;85.000000
2026-07-13 10:15:39;b02;Guloso;-;-;-;100105;0.070126;90.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.2;0.2;30;-;100105;0.008438;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.3;0.3;30;-;100105;0.008658;84.000000
2026-07-13 10:15:39;b02;Randomizado_alpha_0.4;0.4;30;-;100105;0.008808;84.000000
2026-07-13 10:15:39;b02;Reativo_0.2_0.3_0.4;-;300;30;100105;0.093186;85.000000
2026-07-13 10:15:40;b02;Guloso;-;-;-;100106;0.077365;90.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.2;0.2;30;-;100106;0.009731;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.3;0.3;30;-;100106;0.009081;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.4;0.4;30;-;100106;0.010256;84.000000
2026-07-13 10:15:40;b02;Reativo_0.2_0.3_0.4;-;300;30;100106;0.082300;85.000000
